latex_asset,figure_number,figure_label,latex_source,canonical_python,entry_point,config,upstream_data,production_note,verified
figures/problem_chain/unified_problem_chain.pdf,Figure 1,fig:problem_chain,sections/data_methods.tex,empirical/run_problem_chain_figure.py,empirical/run_problem_chain_figure.py,NONE,NONE,Final evidence-guide figure with harmonized text,2026-09-24
figures/e11/e11_analysis_workflow.pdf,Figure 2,fig:analysis_workflow,sections/data_methods.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/rebuild_submission_diagrams.py,NONE,NONE,Data-free workflow with CMI-to-null and DELB-plus-MSE-to-gap arrows,2026-09-24
figures/s7/e15_estimand_estimator_null_wide.pdf,Figure 3,fig:three_layers,sections/data_methods.tex,empirical/src/entropy_crime_bike/e15_concept_diagram.py,empirical/rebuild_submission_diagrams.py,empirical/config/e15.yaml,NONE,Data-free final diagram with harmonized text,2026-09-24
figures/e17/e17_city_cmi_delb_combined.pdf,Figure 4,fig:city_information_bounds,sections/results.tex,empirical/src/entropy_crime_bike/manuscript_six_item_figures.py,empirical/run_manuscript_six_item_figures.py,NONE,E04 city_information and bootstrap summaries,Layout-only regeneration from accepted E04 outputs,2026-07-29
figures/s7/e12_sparse_cmi_main.pdf,Figure 5,fig:e12_sparse_simulation,sections/results.tex,empirical/src/entropy_crime_bike/e12_cmi_simulation.py,empirical/run_e12_cmi_simulation.py,empirical/config/e12.yaml,E12 enumerated known-truth simulation outputs,Generated in E12 then copied by S7 synthesis,2026-07-29
figures/e11/e10_city_null_distributions.pdf,Figure 6,fig:city_nulls,sections/results.tex,empirical/src/entropy_crime_bike/revision_figure6_readability.py,empirical/src/entropy_crime_bike/revision_figure6_readability.py,NONE,Frozen E10 city_null_replicates.parquet and city_null_summary.csv,Revised warm-color vector rendering with larger labels; 8991 replicate values and 9 p-values unchanged,2026-09-24
figures/e19/main_e19_truth_convergence.pdf,Figure 7,fig:e19_truth_convergence,sections/results.tex,empirical/src/entropy_crime_bike/e19_figures.py,empirical/run_e19_figures.py,empirical/config/e19.yaml,E19 replicate_results.csv and population summaries,Generated from frozen E19 result tables,2026-07-29
figures/e19/main_e19_power_mdcmi.pdf,Figure 8,fig:e19_power_mdcmi,sections/results.tex,empirical/src/entropy_crime_bike/e19_figures.py,empirical/run_e19_figures.py,empirical/config/e19.yaml,E19 power_summary.csv and minimum_detectable_cmi.csv,Generated from frozen E19 result tables,2026-07-29
figures/e11/e06_mse_improvement.pdf,Figure 9,fig:mse_improvement,sections/results.tex,empirical/src/entropy_crime_bike/revision_figure9_readability.py,empirical/src/entropy_crime_bike/revision_figure9_readability.py,NONE,Frozen E06 paired_mse_contrasts.csv,Revised vector rendering with larger labels; 12 point estimates and normal confidence limits unchanged,2026-09-24
figures/e17/e17_estimator_null_sensitivity.pdf,Figure S1,fig:sup_estimator_nulls,sections/supplement_results.tex,empirical/src/entropy_crime_bike/manuscript_six_item_figures.py,empirical/run_manuscript_six_item_figures.py,NONE,E17 estimator-null summary,Layout-only regeneration from accepted E17 outputs,2026-07-29
