run_id,experiment,status,started_at,completed_at,elapsed_seconds,run_directory,notes
20260718_150138_E00_data_audit,E00,complete_with_documented_actions,2026-07-18T15:01:38.484229+08:00,2026-07-18T15:02:01.847270+08:00,23.332,empirical/runs/20260718_150138_E00_data_audit,Full input manifest and data-quality audit; raw data unchanged.
20260718_150501_E00_data_audit,E00,complete_with_documented_actions,2026-07-18T15:05:01.948351+08:00,2026-07-18T15:05:27.596943+08:00,25.615,empirical/runs/20260718_150501_E00_data_audit,Full input manifest and data-quality audit; raw data unchanged.
20260718_150723_E00_data_audit,E00,complete_with_documented_actions,2026-07-18T15:07:23.902144+08:00,2026-07-18T15:12:29.866803+08:00,305.917,empirical/runs/20260718_150723_E00_data_audit,Full input manifest and data-quality audit; raw data unchanged.
20260718_155002_E01_standardized_events_sample,E01,sample_complete,2026-07-18T15:50:02.407437,2026-07-18T15:50:33.714556,31.312,empirical/runs/20260718_155002_E01_standardized_events_sample,Standardized crime and bicycle events with station reconciliation; raw data unchanged.
20260718_155422_E01_standardized_events,E01,partial_complete,2026-07-18T15:54:22.827745,2026-07-18T15:56:24.747770,121.923,empirical/runs/20260718_155422_E01_standardized_events,Standardized crime and bicycle events with station reconciliation; raw data unchanged.
20260718_164130_E01_station_rule_patch,E01,complete_targeted_patch,2026-07-18T16:41:30.689962,2026-07-18T16:53:45.297110,13.566,empirical/runs/20260718_164130_E01_station_rule_patch,Targeted city-specific station-rule correction; raw data and unaffected Parquet files unchanged.
20260718_172206_E02_spatial_temporal_panel,E02,partial_complete,2026-07-18T17:22:06.385580,2026-07-18T17:22:09.957358,3.575,empirical/runs/20260718_172206_E02_spatial_temporal_panel,"1 km daily grid panel with crime counts, bicycle flows, calendar controls, lags, and full QC."
20260718_172231_E02_spatial_temporal_panel,E02,complete,2026-07-18T17:22:31.883062,2026-07-18T17:23:47.195469,75.315,empirical/runs/20260718_172231_E02_spatial_temporal_panel,"1 km daily grid panel with crime counts, bicycle flows, calendar controls, lags, and full QC."
20260718_175425_E03_discrete_bound_validation,E03,complete,2026-07-18T17:54:25.255534+08:00,2026-07-18T17:54:29.276632+08:00,3.512,empirical/runs/20260718_175425_E03_discrete_bound_validation,"Numerical validation of the exact integer-lattice entropy envelope, inverse DELB, and closed-form bound."
20260718_182751_E04_city_information,E04,complete,2026-07-18T18:27:51.079034+08:00,2026-07-18T18:28:31.397166+08:00,39.705,empirical/runs/20260718_182751_E04_city_information,"City-level conditional entropy, bicycle CMI, exact DELB reduction, dual-domain estimates, and block bootstrap."
20260718_190356_E05_local_spatial_information,E05,complete,2026-07-18T19:05:50.685068+08:00,2026-07-18T19:06:03.519909+08:00,12.833,empirical/runs/20260718_190356_E05_local_spatial_information,"Grid-level conditional information, exact DELB reduction, FDR classification, and Moran spatial diagnostics."
20260718_193815_E06_predictive_models,E06,complete,2026-07-18T19:38:15.783391+08:00,2026-07-18T19:39:57.808979+08:00,101.199,empirical/runs/20260718_193815_E06_predictive_models,Matched baseline and bicycle-aware out-of-sample count models with validation-only tuning and block uncertainty.
20260718_204327_E07_theory_practice,E07,complete,2026-07-18T20:44:32.608478+08:00,2026-07-18T20:44:51.548850+08:00,18.939,empirical/runs/20260718_204327_E07_theory_practice,"Test-window matched DELB gaps, pretest local theory, joint uncertainty, and theory-practice spatial comparison."
20260718_220503_E08_crime_type_heterogeneity,E08,complete,2026-07-18T22:05:03.357944+08:00,2026-07-18T22:09:40.429752+08:00,276.426,empirical/runs/20260718_220503_E08_crime_type_heterogeneity,"Category-specific conditional information, exact DELBs, matched prediction models, and paired heterogeneity tests."
20260718_224024_E11_manuscript_synthesis,E11,complete,2026-07-18T22:40:24.331147+08:00,2026-07-18T22:40:25.480226+08:00,1.149079,empirical/runs/20260718_224024_E11_manuscript_synthesis,Manuscript synthesis from accepted E02 and E04--E08 results; E09 and E10 intentionally skipped by user.
20260719_183554_E09_robustness,E09,complete,2026-07-19T18:35:54.713278+08:00,2026-07-19T18:44:11.579086+08:00,496.867,empirical/runs/20260719_183554_E09_robustness,Prespecified alternative scales; aggregation; discretization; estimators; lags; block lengths; and rolling origins.
20260719_190015_E10_placebo_null,E10,complete,2026-07-19T19:00:15.589817+08:00,2026-07-19T19:03:08.288252+08:00,172.779,empirical/runs/20260719_190015_E10_placebo_null,Temporal-block; spatial-series; circular-surrogate nulls and 14/30-day distant-lag diagnostics.
20260719_192231_E11_manuscript_synthesis,E11,complete,2026-07-19T19:22:31.628292+08:00,2026-07-19T19:22:32.347036+08:00,0.718744,empirical/runs/20260719_192231_E11_manuscript_synthesis,"Revised manuscript synthesis from accepted E02 and E04--E10 results, including robustness and null calibration."
20260719_192401_E11_manuscript_synthesis,E11,complete,2026-07-19T19:24:01.354169+08:00,2026-07-19T19:24:02.221703+08:00,0.867534,empirical/runs/20260719_192401_E11_manuscript_synthesis,"Revised manuscript synthesis from accepted E02 and E04--E10 results, including robustness and null calibration."
20260719_192814_E11_manuscript_synthesis,E11,complete,2026-07-19T19:28:14.273949+08:00,2026-07-19T19:28:15.042398+08:00,0.768449,empirical/runs/20260719_192814_E11_manuscript_synthesis,"Revised manuscript synthesis from accepted E02 and E04--E10 results, including robustness and null calibration."
20260719_203449_S2_attainability,S2,complete,2026-07-19T20:34:49+08:00,2026-07-19T20:34:50+08:00,0.926,empirical/runs/20260719_203449_S2_attainability,Analytic-probability validation of the exact entropy-domain DELB attainability decomposition; no empirical data used.
20260719_210746_E12_sparse_cmi,E12,complete,2026-07-19T21:07:46+08:00,2026-07-19T21:10:33+08:00,167.198,empirical/runs/20260719_210746_E12_sparse_cmi,Sparse nested-state CMI simulation comparing plugin and Miller--Madow estimators with three E10-style randomization designs; no empirical data used.
20260720_102832_E13_support_null,E13,complete,2026-07-20T10:28:32+08:00,2026-07-20T10:37:30+08:00,538.154,empirical/runs/20260720_102832_E13_support_null,"Surrogate-specific support atoms, singleton occupancy, effective degrees of freedom, E10 null-center associations, and city-grid-clustered fixed-effect models."
20260720_111726_E14_fano_validation,E14,complete,2026-07-20T11:17:26+08:00,2026-07-20T11:17:39+08:00,13.259,empirical/runs/20260720_111726_E14_fano_validation,Population-oracle and three-city Fano validation for fixed binary and three-level targets; all formal figures generated by Python/Matplotlib.
