table_number,table_label,latex_asset,latex_source,canonical_python,entry_point,config,upstream_data,production_note,verified
Table 1,tab:core_bound_comparison,sections/table_core_bound_comparison.tex,sections/related_work.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Cited theoretical literature,Manually maintained literature-comparison table; no empirical data,2026-07-29
Table 2,tab:variable_availability,sections/table_variable_availability.tex,sections/data_methods.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Frozen study design and data dictionary,Manually maintained design table,2026-07-29
Table 3,tab:descriptive_statistics,sections/generated/e11/table_data_summary.tex,sections/data_methods.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E02 panel_summary.csv and variable_summary.csv,Generated by E11 synthesis,2026-07-29
Table 4,tab:application_results_overview,sections/table_application_results_overview.tex,sections/results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E04 E06 E10 E18 accepted summary tables,Manually assembled cross-experiment synthesis with values checked against source tables,2026-07-29
Table 5,tab:e12_simulation_summary,sections/generated/s7/table_e12_simulation.tex,sections/results.tex,empirical/src/entropy_crime_bike/s7_manuscript_synthesis.py,empirical/run_s7_manuscript_synthesis.py,empirical/config/s7.yaml,E12 simulation_summary.csv,Generated by S7 synthesis,2026-07-29
Table 6,tab:e18_restricted_calibration,sections/table_e18_restricted_calibration.tex,sections/results.tex,empirical/src/entropy_crime_bike/e18_restricted_randomization.py,empirical/run_e18_restricted_randomization.py,empirical/config/e18.yaml,E18 observed restricted-null and semi-synthetic calibration summaries,Author-formatted from E18 machine-readable outputs,2026-07-29
Table 7,tab:revision_calibration,sections/table_revision_calibration.tex,sections/results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E04/E18 observed-support and matched-reference summaries,Author-formatted calibration synthesis,2026-09-24
Table 8,tab:null_calibration,sections/generated/e11/table_null_calibration.tex,sections/results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E10 city_null_summary.csv and distant_lag_summary.csv,Generated by E11 synthesis,2026-07-29
Table 9,tab:prediction_gap_results,sections/generated/e11/table_prediction_gap.tex,sections/results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E07 city_model_gap_metrics.csv plus paired DELB values,Generated by E11 synthesis,2026-07-29
Table 10,tab:practical_decision_framework,sections/table_practical_decision_framework.tex,sections/discussion_conclusion.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Integrated interpretation of Tables 4--8,Manually maintained decision framework; no new numerical data,2026-07-29
Table S1,tab:sup_estimator_specifications,sections/generated/e17/table_estimator_sensitivity.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e17_manuscript_tables.py,empirical/run_e17_manuscript_tables.py,empirical/config/e17.yaml,E17 estimator sensitivity summaries,Generated by E17 manuscript-table synthesis,2026-07-29
Table S2,tab:sup_estimator_nulls,sections/generated/e17/table_estimator_null_summary.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e17_manuscript_tables.py,empirical/run_e17_manuscript_tables.py,empirical/config/e17.yaml,E17 estimator-specific null summaries,Generated by E17 manuscript-table synthesis,2026-07-29
Table S3,tab:sup_frozen_domain,sections/generated/e17/table_frozen_domain_sensitivity.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e17_manuscript_tables.py,empirical/run_e17_manuscript_tables.py,empirical/config/e17.yaml,E17 frozen-domain sensitivity summaries,Generated by E17 manuscript-table synthesis,2026-07-29
Table S4,tab:city_entropy_results,sections/generated/e11/table_city_information.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E04 city_information and bootstrap summaries,Generated by E11 synthesis,2026-07-29
Table S5,tab:co_primary_domains,sections/table_co_primary_domains.tex,sections/supplement_results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E04 bicycle-covered estimates and E17 complete-domain estimates,Author-formatted cross-domain comparison,2026-07-29
Table S6,tab:local_information_results,sections/generated/e11/table_local_information.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E05 local information and Moran summaries,Generated by E11 synthesis,2026-07-29
Table S7,tab:e16_sample_stability,sections/generated/e16/table_e16_sample_stability.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_manuscript_synthesis.py,empirical/run_e16_manuscript_synthesis.py,empirical/config/e16.yaml,E16 sample_stability_summary.csv,Generated by S16.7 synthesis,2026-07-29
Table S8,tab:e16_randomization_summary,sections/generated/e16/table_e16_randomization.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_manuscript_synthesis.py,empirical/run_e16_manuscript_synthesis.py,empirical/config/e16.yaml,E16 randomization_summary.csv,Generated by S16.7 synthesis,2026-07-29
Table S9,tab:crime_type_heterogeneity,sections/generated/e11/table_crime_type.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E08 crime-type theory and bootstrap summaries,Generated by E11 synthesis,2026-07-29
Table S10,tab:sup_revision_robustness,sections/table_revision_supplement.tex,sections/supplement_results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Alternative state and calendar matched-reference summaries,Author-formatted revision sensitivity,2026-09-24
Table S11,tab:sup_delta_l_reconciliation,sections/table_revision_supplement.tex,sections/supplement_results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E04 complete/covered and E06 held-out DELB estimates,Author-formatted nine-row scope reconciliation,2026-09-24
Table S12,tab:sup_coverage_topcode,sections/table_revision_supplement.tex,sections/supplement_results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Coverage mixture and pooled top-code summaries,Author-formatted coverage and top-code sensitivity,2026-09-24
Table S13,tab:sup_two_slack,sections/table_revision_supplement.tex,sections/supplement_results.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E06 held-out error/state distributions,Author-formatted empirical two-slack decomposition,2026-09-24
Table S14,tab:robustness_summary,sections/generated/e11/table_robustness.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e11_manuscript_synthesis.py,empirical/run_e11_manuscript_synthesis.py,empirical/config/e11.yaml,E09 specification and rolling-origin summaries,Generated by E11 synthesis,2026-07-29
Table S15,tab:e13_support_relationships,sections/generated/s7/table_e13_support.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/s7_manuscript_synthesis.py,empirical/run_s7_manuscript_synthesis.py,empirical/config/s7.yaml,E13 support_relationship_summary.csv,Generated by S7 synthesis,2026-07-29
Table S16,tab:e14_fano_results,sections/generated/s7/table_e14_fano.tex,sections/supplement_results.tex,empirical/src/entropy_crime_bike/s7_manuscript_synthesis.py,empirical/run_s7_manuscript_synthesis.py,empirical/config/s7.yaml,E14 city_fano_summary.csv,Generated by S7 synthesis,2026-07-29
Table S17,tab:offense_crosswalk,sections/empirical_appendix.tex,sections/empirical_appendix.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E01 harmonized crime-category crosswalk,Manually maintained from authoritative E01 mapping,2026-07-29
Table S18,tab:coordinate_provenance,sections/empirical_appendix.tex,sections/empirical_appendix.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,E01 coordinate-source summary,Author-formatted endpoint provenance,2026-09-24
Table S19,tab:coordinate_source_sensitivity,sections/empirical_appendix.tex,sections/empirical_appendix.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Frozen E02 panel and coordinate-source sensitivity outputs,Author-formatted post hoc sensitivity,2026-09-24
Table S20,tab:coordinate_source_randomization,sections/empirical_appendix.tex,sections/empirical_appendix.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Post hoc coordinate-source randomization outputs,Author-formatted post hoc reference results,2026-09-24
Table S21,tab:delb_theorem_package,sections/table_delb_theorem_package.tex,sections/theoretical_proofs.tex,AUTHOR_MAINTAINED,AUTHOR_MAINTAINED,NONE,Theorems and propositions in theoretical framework,Manually maintained theorem-package guide,2026-07-29
